id,brand,name,district,search_google_maps,lat,lng
1,ปตท.,สาขาป่าสัก(ศิริ),เมืองลำพูน,ปั๊ม ปตท ป่าสัก ลำพูน,0,0
2,ปตท.,สาขาเวียงยอง,เมืองลำพูน,ปั๊ม ปตท เวียงยอง ลำพูน,0,0
3,ปตท.,สาขาประตูโขง,เมืองลำพูน,ปั๊ม ปตท ประตูโขง ลำพูน,0,0
4,ปตท.,สาขาหนองหนาม,เมืองลำพูน,ปั๊ม ปตท หนองหนาม ลำพูน,0,0
5,ปตท.,สาขาบ้านแซม(มะกอก),ป่าซาง,ปั๊ม ปตท บ้านแซม ป่าซาง ลำพูน,0,0
6,ปตท.,สาขาเหมืองง่า,เมืองลำพูน,ปั๊ม ปตท เหมืองง่า ลำพูน,0,0
7,ปตท.,สาขาลี้,ลี้,ปั๊ม ปตท ลี้ ลำพูน,0,0
8,บางจาก,สาขาแยกเทคโนบ้านครู,เมืองลำพูน,ปั๊ม บางจาก แยกเทคโน บ้านครู ลำพูน,0,0
9,บางจาก-ซัสโก้,สาขาป่าสัก(แยกดอยติ),เมืองลำพูน,ปั๊ม บางจาก ป่าสัก แยกดอยติ ลำพูน,0,0
10,บางจาก,สาขาเหมืองง่า,เมืองลำพูน,ปั๊ม บางจาก เหมืองง่า ลำพูน,0,0
11,บางจาก,สาขาเวียงยอง,เมืองลำพูน,ปั๊ม บางจาก เวียงยอง ลำพูน,0,0
12,บางจาก,สหกรณ์การเกษตรแม่ทา,แม่ทา,ปั๊ม บางจาก สหกรณ์การเกษตร แม่ทา ลำพูน,0,0
13,พีที,NC63 ใกล้โฮมโปร,เมืองลำพูน,ปั๊ม PT ใกล้โฮมโปร ลำพูน,0,0
14,พีที,ก่อนถึงแยกบิ๊กซี,เมืองลำพูน,ปั๊ม PT แยกบิ๊กซี ลำพูน,0,0
15,พีที,แยกดอยติ,เมืองลำพูน,ปั๊ม PT แยกดอยติ ลำพูน,0,0
16,พีที,แยกป่าสัก,เมืองลำพูน,ปั๊ม PT แยกป่าสัก ลำพูน,0,0
17,พีที,เวียงยอง,เมืองลำพูน,ปั๊ม PT เวียงยอง ลำพูน,0,0
18,พีที,บ้านกลาง,เมืองลำพูน,ปั๊ม PT บ้านกลาง ลำพูน,0,0
19,พีที,ห้วยแหน(ป่าไผ่),ลี้,ปั๊ม PT ห้วยแหน ป่าไผ่ ลี้ ลำพูน,0,0
20,พีที,ลี้,ลี้,ปั๊ม PT ลี้ ลำพูน,0,0
21,พีที,บ้านปาง(ลี้),ลี้,ปั๊ม PT บ้านปาง ลี้ ลำพูน,0,0
22,พีที,ศรีวิชัย,ลี้,ปั๊ม PT ศรีวิชัย ลี้ ลำพูน,0,0
23,คาลเท็กซ์,ป่าสัก,เมืองลำพูน,ปั๊ม คาลเท็กซ์ ป่าสัก ลำพูน,0,0
24,คาลเท็กซ์,ศรีบัวบาน,เมืองลำพูน,ปั๊ม คาลเท็กซ์ ศรีบัวบาน ลำพูน,0,0
25,คาลเท็กซ์,แม่ทา,แม่ทา,ปั๊ม คาลเท็กซ์ แม่ทา ลำพูน,0,0
26,คาลเท็กซ์,แยกป่าห้า,ป่าซาง,ปั๊ม คาลเท็กซ์ ป่าห้า ป่าซาง ลำพูน,0,0
27,เชลล์,แยกป่าสัก,เมืองลำพูน,ปั๊ม เชลล์ ป่าสัก ลำพูน,0,0
28,เชลล์,ซุปเปอร์ไฮเวย์,เมืองลำพูน,ปั๊ม Shell ซุปเปอร์ไฮเวย์ ลำพูน,0,0
29,เชลล์,แยกนิคมอุตสาหกรรม,เมืองลำพูน,ปั๊ม Shell นิคมอุตสาหกรรม ลำพูน,0,0
30,ปตท.,สาขาบ้านธิ,บ้านธิ,ปั๊ม ปตท บ้านธิ ลำพูน,0,0
31,พีที,สันกอก,บ้านธิ,ปั๊ม PT สันกอก บ้านธิ ลำพูน,0,0
32,พีที,ห้วยไซ,บ้านธิ,ปั๊ม PT ห้วยไซ บ้านธิ ลำพูน,0,0
33,บางจาก,แยกนิคมฯ,เมืองลำพูน,ปั๊ม บางจาก นิคมอุตสาหกรรม ลำพูน,0,0
34,พีที,บ้านธิ,บ้านธิ,ปั๊ม PT บ้านธิ ลำพูน,0,0
35,ปตท.,นิคมฯ(โค้งเขียวหวาน) บ้านกลาง,เมืองลำพูน,ปั๊ม ปตท นิคม โค้งเขียวหวาน บ้านกลาง ลำพูน,0,0
36,ปตท.,ดอยก้อม(แสงเหนือ),บ้านโฮ่ง,ปั๊ม ปตท ดอยก้อม บ้านโฮ่ง ลำพูน,0,0
37,บางจาก,สหกรณ์บ้านโฮ่ง,บ้านโฮ่ง,ปั๊ม บางจาก สหกรณ์ บ้านโฮ่ง ลำพูน,0,0
38,พีที,บ้านโฮ่ง,บ้านโฮ่ง,ปั๊ม PT บ้านโฮ่ง ลำพูน,0,0
39,พีที,ดอยก้อม(บ้านโฮ่ง),บ้านโฮ่ง,ปั๊ม PT ดอยก้อม บ้านโฮ่ง ลำพูน,0,0
41,บางจาก-ซัสโก้,ข้างโตโยต้า,เมืองลำพูน,ปั๊ม บางจาก ซัสโก้ ข้างโตโยต้า ลำพูน,0,0
43,พีที,ทุ่งหัวช้าง,ทุ่งหัวช้าง,ปั๊ม PT ทุ่งหัวช้าง ลำพูน,0,0
44,บางจาก,ในเมือง,เมืองลำพูน,ปั๊ม บางจาก ในเมือง ลำพูน,0,0
45,พีที,หนองยวง(เหล่าดู่),เวียงหนองล่อง,ปั๊ม PT หนองยวง เวียงหนองล่อง ลำพูน,0,0
46,พีที,วังผาง(เหล่าแมว),เวียงหนองล่อง,ปั๊ม PT วังผาง เวียงหนองล่อง ลำพูน,0,0
48,พีที,หนองล่อง(วังสะแกง),เวียงหนองล่อง,ปั๊ม PT หนองล่อง วังสะแกง ลำพูน,0,0
54,พีที,ข้างตลาดบ้านแซม,ป่าซาง,ปั๊ม PT ตลาดบ้านแซม ป่าซาง ลำพูน,0,0
55,พีที,อุโมงค์,เมืองลำพูน,ปั๊ม PT อุโมงค์ ลำพูน,0,0
56,บางจาก,ม่วงโตน,บ้านโฮ่ง,ปั๊ม บางจาก ม่วงโตน บ้านโฮ่ง ลำพูน,0,0
57,ปตท.,ฉางข้าวน้อย,ป่าซาง,ปั๊ม ปตท ฉางข้าวน้อย ป่าซาง ลำพูน,0,0
58,บางจาก-ซัสโก้,ป่าซาง(แม่ทองริ้ว),ป่าซาง,ปั๊ม บางจาก ซัสโก้ ป่าซาง แม่ทองริ้ว ลำพูน,0,0
60,พีที,ศรีย้อย,เมืองลำพูน,ปั๊ม PT ศรีย้อย ลำพูน,0,0
61,พีที,บ้านแป้น,เมืองลำพูน,ปั๊ม PT บ้านแป้น ลำพูน,0,0
62,พีที,6(หนองช้างคืน),เมืองลำพูน,ปั๊ม PT หนองช้างคืน ลำพูน,0,0
64,พีที,ติดเครือสหพัฒน์,เมืองลำพูน,ปั๊ม PT สหพัฒน์ ลำพูน,0,0
65,ปตท.,ต้นธง(พนาพน),เมืองลำพูน,ปั๊ม ปตท ต้นธง ลำพูน,0,0
66,ปตท.,ริมปิง หน้าเรือนจำ,เมืองลำพูน,ปั๊ม ปตท ริมปิง หน้าเรือนจำ ลำพูน,0,0
67,บางจาก,ลี้,ลี้,ปั๊ม บางจาก ลี้ ลำพูน,0,0
